"Target gene symbol","Target gene ID","Target gene type","Target gene exp. level","Binding site records"
"AAMDC","ENSG00000087884","protein_coding","AAMDC","13"
"AANAT","ENSG00000129673","protein_coding","AANAT","1"
"AASDH","ENSG00000157426","protein_coding","AASDH","5"
"ABCA13","ENSG00000179869","protein_coding","ABCA13","4"
"ABCA4","ENSG00000198691","protein_coding","ABCA4","2"
"ABCA5","ENSG00000154265","protein_coding","ABCA5","4"
"ABCC3","ENSG00000108846","protein_coding","ABCC3","3"
"ABCC5","ENSG00000114770","protein_coding","ABCC5","4"
"ABHD10","ENSG00000144827","protein_coding","ABHD10","4"
"ABHD14B","ENSG00000114779","protein_coding","ABHD14B","6"
"ABHD17B","ENSG00000107362","protein_coding","ABHD17B","1"
"ABHD17C","ENSG00000136379","protein_coding","ABHD17C","5"
"ABHD8","ENSG00000127220","protein_coding","ABHD8","1"
"ABL1","ENSG00000097007","protein_coding","ABL1","2"
"AC004076.7","ENSG00000268533","protein_coding","AC004076.7","1"
"AC005019.2","ENSG00000213875","pseudogene","AC005019.2","1"
"AC005307.3","ENSG00000267243","lincRNA","AC005307.3","3"
"AC005616.1","ENSG00000266893","lincRNA","AC005616.1","1"
"AC007682.1","ENSG00000231918","lincRNA","AC007682.1","1"
"AC007740.1","ENSG00000237750","antisense","AC007740.1","1"
"AC009499.1","ENSG00000203386","lincRNA","AC009499.1","2"
"AC010525.7","ENSG00000267018","lincRNA","AC010525.7","1"
"AC016739.2","ENSG00000218175","pseudogene","AC016739.2","1"
"AC018737.1","ENSG00000236859","antisense","AC018737.1","4"
"AC024560.3","ENSG00000214135","pseudogene","AC024560.3","2"
"AC037445.1","ENSG00000233635","antisense","AC037445.1","1"
"AC104534.3","ENSG00000268083","protein_coding","AC104534.3","1"
"AC131097.3","ENSG00000233806","antisense","AC131097.3","5"
"AC144450.1","ENSG00000228613","antisense","AC144450.1","1"
"ACLY","ENSG00000131473","protein_coding","ACLY","3"
"ACSF3","ENSG00000176715","protein_coding","ACSF3","7"
"ACTB","ENSG00000075624","protein_coding","ACTB","8"
